,H_goal_diff,A_goal_diff,H_win,A_win,H_win_against,A_win_against
3551,-11.0,-1.0,5.0,7.0,0.0,3.0
3552,-17.0,-5.0,4.0,4.0,1.0,0.0
3553,-2.0,-11.0,6.0,6.0,1.0,2.0
3554,50.0,-7.0,19.0,6.0,3.0,0.0
3555,-8.0,-10.0,6.0,4.0,3.0,0.0
3556,-6.0,25.0,5.0,13.0,0.0,1.0
3557,17.0,17.0,12.0,11.0,1.0,1.0
3558,17.0,-23.0,11.0,4.0,3.0,0.0
3559,24.0,-2.0,12.0,7.0,2.0,0.0
3560,-8.0,-24.0,6.0,3.0,1.0,0.0
3561,-8.0,-3.0,6.0,7.0,0.0,0.0
3562,-14.0,38.0,5.0,17.0,0.0,3.0
3563,1.0,-27.0,7.0,3.0,2.0,0.0
3564,-9.0,30.0,4.0,13.0,0.0,2.0
3565,-7.0,-9.0,6.0,5.0,3.0,0.0
3566,-24.0,-2.0,3.0,6.0,0.0,0.0
3567,16.0,14.0,13.0,9.0,2.0,1.0
3568,15.0,-13.0,11.0,3.0,2.0,0.0
3569,-29.0,12.0,2.0,11.0,1.0,2.0
3570,18.0,-20.0,10.0,3.0,2.0,0.0
3571,3.0,25.0,9.0,12.0,0.0,2.0
3572,-14.0,-4.0,4.0,7.0,0.0,0.0
3573,-29.0,-12.0,2.0,4.0,1.0,1.0
3574,8.0,31.0,10.0,14.0,1.0,2.0
3575,-4.0,15.0,5.0,12.0,1.0,2.0
3576,17.0,-24.0,14.0,3.0,2.0,0.0
3577,2.0,3.0,8.0,8.0,1.0,0.0
3578,-6.0,-24.0,5.0,4.0,2.0,0.0
3579,2.0,-13.0,9.0,5.0,2.0,1.0
3580,0.0,-9.0,6.0,6.0,2.0,0.0
3581,-27.0,-11.0,3.0,6.0,2.0,1.0
3582,-15.0,-1.0,3.0,6.0,1.0,1.0
3583,43.0,8.0,15.0,9.0,1.0,1.0
3584,24.0,-14.0,17.0,5.0,2.0,0.0
3585,-5.0,-17.0,7.0,5.0,0.0,0.0
3586,-12.0,-7.0,6.0,8.0,0.0,0.0
3587,-13.0,13.0,4.0,10.0,0.0,2.0
3588,30.0,3.0,13.0,10.0,0.0,1.0
3589,-19.0,18.0,2.0,12.0,0.0,2.0
3590,-9.0,32.0,7.0,14.0,0.0,3.0
3591,18.0,-15.0,12.0,5.0,3.0,0.0
3592,-10.0,-13.0,7.0,4.0,1.0,0.0
3593,-16.0,0.0,5.0,9.0,0.0,1.0
3594,17.0,-5.0,11.0,6.0,2.0,0.0
3595,-14.0,-19.0,3.0,2.0,0.0,0.0
3596,40.0,0.0,15.0,6.0,2.0,0.0
3597,1.0,-26.0,7.0,3.0,2.0,1.0
3598,-6.0,-4.0,7.0,8.0,1.0,1.0
3599,5.0,23.0,8.0,17.0,0.0,3.0
3600,-15.0,20.0,4.0,13.0,1.0,1.0
3601,-17.0,-1.0,5.0,7.0,2.0,1.0
3602,1.0,-20.0,7.0,5.0,2.0,0.0
3603,-26.0,-9.0,3.0,7.0,1.0,1.0
3604,-2.0,36.0,7.0,14.0,0.0,3.0
3605,34.0,2.0,15.0,7.0,1.0,0.0
3606,3.0,-17.0,9.0,2.0,1.0,1.0
3607,28.0,-5.0,18.0,8.0,3.0,0.0
3608,0.0,17.0,9.0,11.0,1.0,2.0
3609,-17.0,-5.0,3.0,7.0,1.0,2.0
3610,-15.0,3.0,4.0,8.0,0.0,2.0
3611,-25.0,-18.0,3.0,2.0,0.0,1.0
